--faucet-sol argument ignored, ledger already exists
Ledger location: test-ledger
Log: test-ledger/validator.log
Initializing...
Waiting for fees to stabilize 1...
Connecting...
Identity: 8yRBHxPcUiy6QsULsp9UTT4Uie4TubapHrJXtR4hQEFm
Genesis Hash: BapDGoRhRTPp7NLEUQxXnhT3wVcAaXm7rFYv4JtM5Ln3
Version: 2.3.13
Shred Version: 27098
Gossip Address: 127.0.0.1:8000
TPU Address: 127.0.0.1:8003
JSON RPC URL: http://127.0.0.1:8899
WebSocket PubSub URL: ws://127.0.0.1:8900
00:00:04 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:05 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:05 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:05 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:05 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:06 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:06 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:06 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:06 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:07 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:07 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:07 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:07 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:08 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:08 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:08 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:08 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:09 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:09 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:09 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:09 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:10 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:10 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:10 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:10 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:11 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:11 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:11 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:11 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:12 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:12 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:12 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:12 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:13 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:13 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:13 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:13 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:14 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:14 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:14 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:14 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:15 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
00:00:15 | Processed Slot: 5410 | Confirmed Slot: 5401 | Finalized Slot: 5410 | Full Snapshot Slot: 5401 | Incremental Snapshot Slot: - | Transactions: 5394 | ◎499.973030000
